name,ABA_routing,bank_country,account_number,IBAN,swift11,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Kelsey Franklin,022218582,GB,FVVX54569143033860,GB30ITYM53040905931648,YPADGB0Y7QZ,11,53.81,1,0,Urban,1,Phone,No Offer,0,0.9230926265671658
Steven Cross,114050713,GB,ALGJ28505568948245,GB32JNXF94887374664377,ZVUSGBEL9OT,2,492.02,1,0,Surburban,0,Phone,No Offer,0,1.075013699980786
Shannon White,052575729,GB,HZAZ14840096016274,GB60MPVI29623904248428,JCRNGBI5JKS,10,320.11,0,1,Rural,0,Web,No Offer,0,1.3188522432042489
John Webb,125162331,GB,GNTE51631960429006,GB70MFBZ10652037727780,CVAHGB9Y0Z5,4,87.2,0,1,Surburban,1,Phone,Buy One Get One,1,2.2125203528962905
Mrs. Brenda Chavez,024168669,GB,WBRD94409565638230,GB72KXFP29396239155212,GKLVGBCOUJ4,1,35.23,1,0,Urban,1,Phone,Discount,0,1.6445746734327549
Kelly Barnes PhD,122691177,GB,STVL00914700242783,GB13XPTC69370527510910,VKROGBXWS7Y,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,1.3484310618036321
Jennifer Howard,065384321,GB,HIOP59086236937685,GB87ZHCR61215594154103,UEMCGBFXBJ3,2,57.53,1,0,Urban,1,Phone,No Offer,0,0.518690516978658
Andrea Smith,061804766,GB,SDOV93651061311948,GB57OFWW38714724206573,XQSSGBWBCJI,9,329.96,0,1,Surburban,1,Phone,No Offer,0,1.548129243612769
Steven Schmidt,031295949,GB,SWAM84559393076266,GB58XRCB71930288746759,VIMGGBN8V44,9,29.99,0,1,Surburban,1,Phone,No Offer,0,1.3248571578762478
Kristin Lucas,023907850,GB,GEZV05143860926785,GB26LUSY37751306129905,YSMNGBMTW37,7,69.44,1,0,Rural,0,Web,Discount,1,1.6484795764170155
Jasmin Williams,110254571,GB,PRET50959257283475,GB12NRII87005391208866,CMCOGBGN219,3,190.66,0,1,Surburban,1,Web,Buy One Get One,0,0.835249191814191
Dawn Espinoza PhD,096982569,GB,RLAT03987200222838,GB67PGUC64962398978508,YRTLGBVQ05N,2,56.25,1,0,Surburban,1,Phone,Discount,0,0.37539916444754196
Alexander Davis,034955341,GB,XCFG47191963718136,GB15RCLF53165215208415,QMBRGBY8TLX,1,188.89,0,1,Surburban,1,Web,No Offer,0,0.7734995634020725
Mallory Pruitt,028585947,GB,ALFB22580070889544,GB96SWWI88728105299928,GYUGGB94Z25,3,68.81,0,1,Urban,0,Phone,Discount,0,0.7459619566059466
Michael Anderson,098520440,GB,POZK43390557362573,GB93JVJO99943995602909,VPWVGBRAB3Q,9,204.18,0,1,Surburban,0,Web,Buy One Get One,0,0.7909170456741427
Todd Marshall,052759134,GB,EWBF36189035181787,GB43WVVD83176253716638,PEEEGB3BQGM,9,44.68,1,0,Urban,0,Phone,No Offer,0,0.3212628711511444
Adam Rogers,051259004,GB,EXZM63402981824316,GB63KUXT93588588485235,OEQDGBQ17G3,12,98.17,0,1,Surburban,1,Web,No Offer,0,1.509096116913058
Charles Chapman,055942061,GB,IAVI53976281458601,GB53TALZ07411347775971,PMGYGBNUJ42,5,964.59,0,1,Surburban,1,Phone,No Offer,0,0.9010564586395581
Amy Gonzales,112667166,GB,NFLE64051962682485,GB73SZKM44778311913629,MGPHGBMW13N,6,329.08,1,1,Rural,1,Web,No Offer,0,0.8509805910796373
John Owen,044371669,GB,LTPC51987483279675,GB18ADAR54642324762163,EZQOGBPE2GN,6,398.03,1,1,Surburban,0,Phone,No Offer,0,2.057865396486127
Eric Rogers,088376510,GB,HRKK10011360115033,GB44XVCX02160680501083,KSQSGB0432V,2,278.8,1,0,Rural,0,Web,Discount,0,1.4615543612028605
William Price,120211850,GB,QJCH58903928599507,GB28EWMN71936149727448,MNGCGBV8ZBE,1,248.43,1,0,Surburban,1,Phone,No Offer,0,1.3602049096867703
