name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Jonathan Bates,02789 Henderson Forge Apt. 764,Maryview,91083,(518)762-5658x1407,"Engineer, broadcasting (operations)",10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0,1.5651122175795686
Amy Gonzales,09936 Sara Loop Suite 389,Jasonchester,48086,(855)920-3455x42928,Fashion designer,6,329.08,1,1,Rural,1,Web,No Offer,0,0.8509805910796373
Katherine Thomas,2716 Ramirez Harbor,East Dawn,95102,439-382-6899,Charity officer,7,180.65,0,1,Surburban,1,Web,Buy One Get One,0,0.6381424593780822
Mrs. Renee Galloway,691 Larry River,Hayesside,34018,+1-025-712-7093,Technical sales engineer,9,675.83,1,0,Rural,1,Web,Discount,0,1.073463550302712
Bobby Mcdaniel,5675 Davidson Extensions Apt. 585,West Patrickfort,60958,(362)690-6453,Film/video editor,2,45.34,1,0,Urban,0,Web,Buy One Get One,0,0.48352850028379657
Jennifer Conley,85694 Tony Harbor Apt. 726,North Adrienne,67822,1327874624,Therapeutic radiographer,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,1.9656034226653931
Andres Haney,000 Adams Crest,Thorntonview,09445,427.891.5592x375,Accommodation manager,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0,0.2681740408313319
David Haney,3487 Lee Valley,New Danielport,86167,658-097-1734,Public affairs consultant,9,46.42,0,1,Urban,0,Phone,Buy One Get One,0,0.7903877089883934
Jerry Doyle,926 Powell Shoal Apt. 583,Brittanytown,30572,001-857-204-3056,"Engineer, maintenance",9,675.07,1,1,Rural,1,Phone,Discount,0,1.264295403642433
Shelia Hoover,546 Williams Shoal,Port Johnathan,42887,(540)780-5534x9685,Barista,10,32.84,0,1,Urban,1,Web,Buy One Get One,0,0.644004256769277
Katrina Ellis,9354 Cheryl Harbor Suite 067,Crosbyland,17951,001-360-347-1839x79479,Structural engineer,7,548.91,0,1,Urban,1,Phone,Buy One Get One,1,1.5687375478615815
Kathryn Johnson,21108 Sparks River Apt. 948,Snowchester,07637,791.639.1256x6049,Animator,1,211.45,0,1,Urban,1,Phone,Buy One Get One,0,1.1929719317878924
Kerry Maldonado,8139 Lawson Keys Suite 963,Smithton,01167,(604)853-6804x165,"Engineer, communications",5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0,1.3891020299528836
